,director_name,actor_1_name,actor_2_name,actor_3_name,genre,movie_title,comb
28,Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,Animation Family,monster family,Emily Watson Jason Isaacs Nick Frost Holger Tappe Animation Family
29,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,Emily Browning Adam Horowitz Mary-Louise Parker Alex Ross Perry Drama
30,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther,"Chadwick Boseman Michael B. Jordan Lupita Nyong'o Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan Action Adventure Science Fiction"
31,Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,Eddie Redmayne Tom Hiddleston Maisie Williams Nick Park Family Comedy Animation Adventure
32,Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Drama,loveless,Maryana Spivak Alexei Rozin Matvey Novikov Andrey Zvyagintsev Drama
33,Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Fantasy Comedy Drama,the party,Timothy Spall Kristin Scott Thomas Patricia Clarkson Sally Potter Fantasy Comedy Drama
34,Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama,nostalgia,Jon Hamm Nick Offerman Amber Tamblyn Mark Pellington Drama
35,Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47,Hugo Weaving Jim Broadbent Stephen Rea Lance Daly Drama Western
36,Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,Taylor James Jackson Rathbone Billy Zane Bruce Macdonald Action Drama Adventure
37,"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,Mystery Comedy Crime,game night,"Jason Bateman Rachel McAdams Kyle Chandler Jonathan Goldstein, John Francis Daley Mystery Comedy Crime"
38,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Science Fiction Action,annihilation,Natalie Portman Jennifer Jason Leigh Gina Rodriguez Alex Garland Science Fiction Action
39,Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Fantasy Romance,every day,Angourie Rice Maria Bello Debby Ryan Michael Sucsy Fantasy Romance
40,David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,David Freyne (director); Ellen Page Sam Keeley Tom Vaughan-Lawlor David Freyne Horror Drama Science Fiction
41,Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Drama Horror Romance Thriller,the lodgers,Charlotte Vega Bill Milner Eugene Simon Brian O'Malley Drama Horror Romance Thriller
42,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Mystery Thriller,red sparrow,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Francis Lawrence Mystery Thriller
43,Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish,Bruce Willis Vincent D'Onofrio Dean Norris Eli Roth Action Crime Drama Thriller
44,Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Mystery Drama,the vanishing of sidney hall,Logan Lerman Elle Fanning Michelle Monaghan Shawn Christensen Mystery Drama
45,Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Comedy Drama War,foxtrot,Lior Ashkenazi Sarah Adler Yonatan Shiray Samuel Maoz Comedy Drama War
46,Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Thriller Action Crime Drama Mystery,pickings,Elyse Price Joel Bernard Katie Vincent Usher Morgan Thriller Action Crime Drama Mystery
47,Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time,Storm Reid Oprah Winfrey Reese Witherspoon Ava DuVernay Adventure Science Fiction Family Fantasy
48,Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Action Thriller Crime Drama,gringo,David Oyelowo Charlize Theron Joel Edgerton Nash Edgerton Action Thriller Crime Drama
49,Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds,Olivia Cooke Anya Taylor-Joy Anton Yelchin Cory Finley Drama Thriller
50,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Comedy Drama History,the death of stalin,Steve Buscemi Simon Russell Beale Paddy Considine Armando Iannucci Comedy Drama History
51,Paolo Virzì,Donald Sutherland,Helen Mirren,unknown,Drama Romance Adventure,the leisure seeker,Donald Sutherland Helen Mirren unknown Paolo Virzì Drama Romance Adventure
52,Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night,Christina Hendricks Martin Henderson Bailee Madison Johannes Roberts Horror Thriller
53,Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Crime Thriller,the hurricane heist,Toby Kebbell Maggie Grace Ryan Kwanten Rob Cohen Action Crime Thriller
54,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,Alicia Vikander Dominic West Walton Goggins Roar Uthaug Action Adventure Fantasy
55,Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon",Nick Robinson Katherine Langford Alexandra Shipp Greg Berlanti Comedy Drama Romance
56,Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine,Cloris Leachman Dennis Quaid Priscilla Shirer Jon Erwin Music Drama
57,José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe,Rosamund Pike Daniel Brühl Vincent Cassel José Padilha Thriller Drama Crime
58,Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough,Melissa Leo Tessa Thompson La La Anthony Laurie Collyer Comedy
59,Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie,Sophie Turner Dylan McDermott Jack Kilmer Eric England Thriller Drama
60,Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Comedy Drama,flower,Zoey Deutch Kathryn Hahn Tim Heidecker Max Winkler Comedy Drama
61,Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,John Boyega Scott Eastwood Cailee Spaeny Steven S. DeKnight Action Fantasy Science Fiction Adventure
62,Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,Bryan Cranston Edward Norton Bill Murray Wes Anderson Adventure Comedy Animation
63,John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,James McAvoy Emily Blunt Johnny Depp John Stevenson Animation Family Fantasy Comedy Adventure Mystery
64,Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,Claire Foy Joshua Leonard Jay Pharoah Steven Soderbergh Horror Thriller
65,Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,Drama History,"paul, apostle of christ",James Faulkner Jim Caviezel Olivier Martinez Andrew Hyatt Drama History
66,Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Drama History,final portrait,Geoffrey Rush Armie Hammer Clémence Poésy Stanley Tucci Drama History
67,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,Bella Thorne Patrick Schwarzenegger Rob Riggle Scott Speer Romance Drama
68,Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,Amanda Delaney Justin Maina Sean Michael Gloria Ryan Justice Thriller
69,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Science Fiction Adventure Action,ready player one,Tye Sheridan Olivia Cooke Ben Mendelsohn Steven Spielberg Science Fiction Adventure Action
70,Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony,Taraji P. Henson Lyriq Bent Tika Sumpter Tyler Perry Thriller
71,Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,David A. R. White John Corbett Shane Harper Michael Mason Drama
72,Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Science Fiction Action Thriller,gemini,Lola Kirke Zoë Kravitz Greta Lee Aaron Katz Science Fiction Action Thriller
73,Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,Burt Reynolds Ariel Winter Clark Duke Adam Rifkin Drama
74,John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Horror Drama Science Fiction,a quiet place,John Krasinski Emily Blunt Millicent Simmonds John Krasinski Horror Drama Science Fiction
75,Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,Leslie Mann Ike Barinholtz John Cena Kay Cannon Comedy
76,Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama Crime,you were never really here,Joaquin Phoenix Ekaterina Samsonov Alex Manette Lynne Ramsay Thriller Drama Crime
77,John Curran,Jason Clarke,Kate Mara,Ed Helms,History Drama Thriller,chappaquiddick,Jason Clarke Kate Mara Ed Helms John Curran History Drama Thriller
78,"Drew Fellman, David Douglas",Kristen Bell,unknown,unknown,Documentary,pandas,"Kristen Bell unknown unknown Drew Fellman, David Douglas Documentary"
79,Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Drama Adventure,lean on pete,Charlie Plummer Chloë Sevigny Travis Fimmel Andrew Haigh Drama Adventure
80,Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season,Helen Hunt William Hurt Erin Moriarty Sean McNamara Drama
81,Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,Jon Hamm Rosamund Pike Dean Norris Brad Anderson Action Thriller Drama
82,Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Action Adventure Science Fiction,rampage,Dwayne Johnson Naomie Harris Malin Åkerman Brad Peyton Action Adventure Science Fiction
83,Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,Lucy Hale Tyler Posey Violett Beane Jeff Wadlow Thriller Horror
84,Chloé Zhao,Brady Jandreau,unknown,unknown,Western Drama,the rider,Brady Jandreau unknown unknown Chloé Zhao Western Drama
85,Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,Logan Lerman Helena Bonham Carter Gérard Depardieu Richard Lanni Animation Adventure Family History War
86,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty,"Amy Schumer Michelle Williams Emily Ratajkowski Abby Kohn, Marc Silverstein Comedy Romance"
87,Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2,Jay Chandrasekhar Paul Soter Steve Lemme Jay Chandrasekhar Comedy Crime Mystery
88,Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Horror Thriller,traffik,Paula Patton Omar Epps Missi Pyle Deon Taylor Horror Thriller
89,Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama Comedy,the house of tomorrow,Asa Butterfield Nick Offerman Ellen Burstyn Peter Livolsi Drama Comedy
90,Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,unknown,Animation Drama Music,liz and the blue bird,Atsumi Tanezaki Nao Tōyama unknown Naoko Yamada Animation Drama Music
91,Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Anthony Russo and Joe Russo Adventure Action Science Fiction
92,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio Drama Romance
93,Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Thriller Drama History,backstabbing for beginners,Ben Kingsley Theo James Jacqueline Bisset Per Fly Thriller Drama History
94,Deniz Gamze Ergüven,Halle Berry,Daniel Craig,unknown,Adventure Drama Action,kings,Halle Berry Daniel Craig unknown Deniz Gamze Ergüven Adventure Drama Action
95,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Eugenio Derbez,Eva Longoria,Romance Comedy,overboard,"Anna Faris Eugenio Derbez Eva Longoria Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez Romance Comedy"
96,Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Comedy Drama,tully,Charlize Theron Mackenzie Davis Mark Duplass Jason Reitman Comedy Drama
97,Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror,bad samaritan,David Tennant Robert Sheehan Carlito Olivero Dean Devlin Thriller Crime Horror
98,Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy,the cleanse,Johnny Galecki Anna Friel Oliver Platt Bobby Miller Drama Comedy Fantasy
99,Xavier Beauvois,Nathalie Baye,unknown,unknown,Family Animation Fantasy Action Adventure,the guardians,Nathalie Baye unknown unknown Xavier Beauvois Family Animation Fantasy Action Adventure
100,Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Comedy,life of the party,Melissa McCarthy Maya Rudolph Molly Gordon Ben Falcone Comedy
101,James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Thriller Crime Action Horror,breaking in,Gabrielle Union Billy Burke Richard Cabral James McTeigue Thriller Crime Action Horror
102,Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Drama Romance Comedy,the seagull,Saoirse Ronan Annette Bening Corey Stoll Michael Mayer Drama Romance Comedy
103,Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Comedy Drama,terminal,Margot Robbie Simon Pegg Dexter Fletcher Vaughn Stein Comedy Drama
104,Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Action Thriller Horror,revenge,Matilda Lutz Kevin Janssens Vincent Colombe Coralie Fargeat Action Thriller Horror
105,David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Action Comedy Adventure,deadpool 2,Ryan Reynolds Josh Brolin Zazie Beetz David Leitch Action Comedy Adventure
106,Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Comedy Romance Drama,book club,Jane Fonda Candice Bergen Mary Steenburgen Bill Holderman Comedy Romance Drama
107,Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Drama,first reformed,Ethan Hawke Amanda Seyfried Cedric Kyles Paul Schrader Drama
108,Wim Wenders,Wim Wenders (director); Pope Francis,unknown,unknown,Documentary,pope francis: a man of his word,Wim Wenders (director); Pope Francis unknown unknown Wim Wenders Documentary
109,Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Adventure Crime Family Comedy,show dogs,Will Arnett Natasha Lyonne Ludacris Raja Gosnell Adventure Crime Family Comedy
110,Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Science Fiction Adventure Action,solo: a star wars story,Alden Ehrenreich Woody Harrelson Emilia Clarke Ron Howard Science Fiction Adventure Action
111,John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties,Elle Fanning Alex Sharp Nicole Kidman John Cameron Mitchell Comedy Music Romance Science Fiction
112,Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Drama,in darkness,Natalie Dormer Emily Ratajkowski Ed Skrein Anthony Byrne Drama
113,Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Drama,the misandrists,Susanne Sachße Viva Ruiz Kembra Pfahler Bruce LaBruce Drama
114,"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world,"James Franco Suki Waterhouse Jeffrey Wahlberg James Franco, Bruce Thierry Cheung Science Fiction"
115,Tim Kirkby,Johnny Knoxville,Chris Pontius,unknown,Comedy Drama,action point,Johnny Knoxville Chris Pontius unknown Tim Kirkby Comedy Drama
116,Baltasar Kormákur,Shailene Woodley,Sam Claflin,unknown,Thriller Romance Adventure,adrift,Shailene Woodley Sam Claflin unknown Baltasar Kormákur Thriller Romance Adventure
117,Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade,Logan Marshall-Green Betty Gabriel Harrison Gilbertson Leigh Whannell Action Thriller Science Fiction
118,Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,Evan Peters Barry Keoghan Blake Jenner Bart Layton Drama Crime Documentary
119,Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,Noël Wells Josh Radnor Aya Cash Theresa Bennett Comedy Romance
120,Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action,ocean's 8,Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross Crime Comedy Action
121,Morgan Neville,Morgan Neville (director); Fred Rogers,unknown,unknown,Documentary,won't you be my neighbor?,Morgan Neville (director); Fred Rogers unknown unknown Morgan Neville Documentary
122,Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,Toni Collette Alex Wolff Milly Shapiro Ari Aster Horror Mystery Thriller
123,Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action,hotel artemis,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce Thriller Science Fiction Action
124,Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,Trevor Jackson Jason Mitchell Michael K. Williams Director X Action Crime
125,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird Action Adventure Animation Family
126,Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Comedy Action,tag,Ed Helms Jeremy Renner Jon Hamm Jeff Tomsic Comedy Action
127,Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Drama Romance,on chesil beach,Saoirse Ronan Billy Howle Emily Watson Dominic Cooke Drama Romance
128,Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Crime Drama History Thriller,gotti,John Travolta Kelly Preston Stacy Keach Kevin Connolly Crime Drama History Thriller
129,J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction,jurassic world: fallen kingdom,Chris Pratt Bryce Dallas Howard Rafe Spall J.A. Bayona Action Adventure Science Fiction
130,Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste Comedy Drama
131,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,unknown,Comedy Western,damsel,"Robert Pattinson Mia Wasikowska unknown David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Comedy Western"
132,Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson Thriller Horror
133,Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado,Benicio del Toro Josh Brolin Isabela Moner Stefano Sollima Action Crime Drama Thriller
134,Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,Ben Foster Thomasin McKenzie Jeff Kober Debra Granik Drama
135,Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III Comedy
136,Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
137,Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Horror Action Thriller,the first purge,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Horror Action Thriller
138,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp,Paul Rudd Evangeline Lilly Michael Peña Peyton Reed Action Adventure Science Fiction
139,Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you,Lakeith Stanfield Tessa Thompson Armie Hammer Boots Riley Fantasy Science Fiction Comedy
140,Kevin MacDonald,Whitney Houston,unknown,unknown,Music Documentary,whitney,Whitney Houston unknown unknown Kevin MacDonald Music Documentary
141,Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation,Adam Sandler Andy Samberg Selena Gomez Genndy Tartakovsky Family Fantasy Comedy Animation
142,Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action Thriller,skyscraper,Dwayne Johnson Neve Campbell Chin Han Rawson Marshall Thurber Action Thriller
143,Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,Elsie Fisher Josh Hamilton Emily Robinson Bo Burnham Comedy Drama
144,Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot",Joaquin Phoenix Rooney Mara Jonah Hill Gus Van Sant Comedy Drama
